Title of QDL document,Document URL
"File 5/104 II,III – Miscellaneous slave trade correspondence",https://www.qdl.qa/en/archive/81055/vdc_100000000193.0x0000af
File 5/168 IV – Manumission of slaves on Arab Coast: individual cases,https://www.qdl.qa/en/archive/81055/vdc_100000000193.0x0000b5
File 5/168 V – Manumission of slaves on Arab Coast: individual cases,https://www.qdl.qa/en/archive/81055/vdc_100000000193.0x0000b6
File 5/168 VII – Manumission of slaves on Arab Coast: individual cases,https://www.qdl.qa/en/archive/81055/vdc_100000000193.0x0000b8
File 5/168 VIII – Manumission of slaves on Arab Coast: individual cases,https://www.qdl.qa/en/archive/81055/vdc_100000000193.0x0000b9
File 5/183 (D 31) – Manumission of slaves at Kuwait,https://www.qdl.qa/en/archive/81055/vdc_100000000193.0x0000ba
File 5/187 I – Proclamation prohibiting slave trade,https://www.qdl.qa/en/archive/81055/vdc_100000000193.0x0000bb
"File 5/188 I, 189 I – Expenses incurred as a result of slaves taking refuge in consulates and agencies; manumission of slaves and general treatment of slave trade cases",https://www.qdl.qa/en/archive/81055/vdc_100000000193.0x0000bc
File 5/190 II – Manumission of slaves at Muscat: individual cases,https://www.qdl.qa/en/archive/81055/vdc_100000000193.0x0000bd
File 5/190 III – Manumission of slaves at Muscat: individual cases,https://www.qdl.qa/en/archive/81055/vdc_100000000193.0x0000be
File 5/190 IV – Manumission of slaves at Muscat: individual cases,https://www.qdl.qa/en/archive/81055/vdc_100000000193.0x0000bf
File 5/190 V – Manumission of slaves at Muscat: individual cases,https://www.qdl.qa/en/archive/81055/vdc_100000000193.0x0000c0
File 5/191 – Kidnapping of Baluchis and Indians on the Mekran Coast and exporting them for sale at Oman and Trucial Coast,https://www.qdl.qa/en/archive/81055/vdc_100000000193.0x0000c2
File 5/191 II – Individual slavery cases,https://www.qdl.qa/en/archive/81055/vdc_100000000193.0x0000c3
File 5/191 IV Individual slavery cases,https://www.qdl.qa/en/archive/81055/vdc_100000000193.0x0000c5
File 5/193 II (B 38) – Slavery in the Gulf,https://www.qdl.qa/en/archive/81055/vdc_100000000193.0x0000c7
File 5/193 II (B 38) – Slavery in the Gulf,https://www.qdl.qa/en/archive/81055/vdc_100000000193.0x0000c6
File 5/193 IV (B 55) – Slavery in the Persian Gulf,https://www.qdl.qa/en/archive/81055/vdc_100000000193.0x0000c9
"File 5/194 I,195 I, 179 III, 169 II, 104 IV – Kidnapping of individuals; manumission of slaves at Kuwait and Bushire; miscellaneous slavery cases",https://www.qdl.qa/en/archive/81055/vdc_100000000193.0x0000ca
"File 5/194 I,195 I, 179 III, 169 II, 104 IV – Kidnapping of individuals; manumission of slaves at Kuwait and Bushire; miscellaneous slavery cases",https://www.qdl.qa/en/archive/81055/vdc_100000000193.0x0000b0
File 5/197 I – Absconding of Slaves from Sharja and Henja,https://www.qdl.qa/en/archive/81055/vdc_100000000193.0x0000cc
File 5/198 I – Kidnapping on the Trucial Coast,https://www.qdl.qa/en/archive/81055/vdc_100000000193.0x0000cd
"File 5/198 II, 199, 200 – Kidnapping of persons on the Trucial Coast; purchase and export of slaves from the Trucial Coast; Saudi Government's regulations on the slave traffic",https://www.qdl.qa/en/archive/81055/vdc_100000000193.0x0000ce
File 5/201 – Manumission of slaves and rules relating to cases arising out of the pearling industry,https://www.qdl.qa/en/archive/81055/vdc_100000000193.0x0000cf
File 5/6 I – Brussels Conference and general rules and procedure on slave traffic,https://www.qdl.qa/en/archive/81055/vdc_100000000193.0x0000ac
"File 5/65 I – Question of disposal of emancipated slaves and proposal to check traffic between Muscat, Oman ports and Zanzibar",https://www.qdl.qa/en/archive/81055/vdc_100000000193.0x0000ad
File 5/74 – Practice attributed to British authorities of surrendering fugitive slaves,https://www.qdl.qa/en/archive/81055/vdc_100000000193.0x0000ae